fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1930-11-09,2,2,1970-01-01 00:00:00.000001930,0
1930-09-25,3,3,1970-01-01 00:00:00.000001930,0
1930-05-10,54,48,1970-01-01 00:00:00.000001930,6
1930-06-10,8,8,1970-01-01 00:00:00.000001930,0
1930-12-10,4,4,1970-01-01 00:00:00.000001930,0
1930-10-13,3,3,1970-01-01 00:00:00.000001930,0
1930-10-28,3,3,1970-01-01 00:00:00.000001930,0
1930-10-30,6,3,1970-01-01 00:00:00.000001930,3
1930-10-30,1,1,1970-01-01 00:00:00.000001930,0
1930-07-11,9,1,1970-01-01 00:00:00.000001930,8
1930-11-18,3,3,1970-01-01 00:00:00.000001930,0
1930-09-12,6,4,1970-01-01 00:00:00.000001930,2
1931-08-01,2,2,1970-01-01 00:00:00.000001930,0
1931-01-22,1,1,1970-01-01 00:00:00.000001930,0
1931-08-02,3,3,1970-01-01 00:00:00.000001930,0
1931-02-20,3,2,1970-01-01 00:00:00.000001930,1
1931-02-24,3,1,1970-01-01 00:00:00.000001930,2
1931-03-21,8,8,1970-01-01 00:00:00.000001930,0
1931-03-31,8,8,1970-01-01 00:00:00.000001930,0
1931-04-14,10,2,1970-01-01 00:00:00.000001930,8
1931-05-05,2,2,1970-01-01 00:00:00.000001930,0
1931-05-22,1,1,1970-01-01 00:00:00.000001930,0
1931-05-24,1,1,1970-01-01 00:00:00.000001930,0
1931-07-06,4,4,1970-01-01 00:00:00.000001930,0
1931-11-06,3,2,1970-01-01 00:00:00.000001930,1
1931-06-13,4,4,1970-01-01 00:00:00.000001930,0
1931-12-07,2,2,1970-01-01 00:00:00.000001930,0
1931-07-14,2,2,1970-01-01 00:00:00.000001930,0
1931-07-21,1,1,1970-01-01 00:00:00.000001930,0
1931-07-24,7,7,1970-01-01 00:00:00.000001930,0
1931-09-08,6,6,1970-01-01 00:00:00.000001930,0
1931-09-14,1,1,1970-01-01 00:00:00.000001930,0
1931-09-15,6,6,1970-01-01 00:00:00.000001930,0
1931-09-16,4,4,1970-01-01 00:00:00.000001930,0
1931-06-10,3,3,1970-01-01 00:00:00.000001930,0
1931-10-14,3,3,1970-01-01 00:00:00.000001930,0
